gene_id,CD4_positive_naive_resting_alpha_beta_T_cell,CD8_positive_naive_resting_alpha_beta_T_cell,hippocampus,heart,gastrocnemius,monocyte,neutrophil,T_cell,left_cerebral_cortex,adrenal_gland,B_cell
ENSMUSG00000102693.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000064842.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000051951.5,0.0,0.0,26.27,0.09,0.01,0.0,0.0,0.0,24.82,0.6,0.0
ENSMUSG00000102851.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103377.1,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,1.32,0.05,0.0
ENSMUSG00000104017.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.01,0.01,0.0
ENSMUSG00000103025.1,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.53,0.01,0.0
ENSMUSG00000089699.1,0.0,0.0,0.21,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0
ENSMUSG00000103201.1,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,1.05,0.03,0.0
ENSMUSG00000103147.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103161.1,0.02,0.0,1.14,0.02,0.0,0.0,0.07,0.04,1.01,0.02,0.0
ENSMUSG00000102331.1,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,1.92,0.03,0.0
ENSMUSG00000102348.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
ENSMUSG00000102592.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000088333.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102343.1,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025900.12,0.0,0.0,0.04,1.08,0.35,0.0,0.0,0.0,0.02,0.01,0.0
ENSMUSG00000102948.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000104123.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025902.13,0.0,0.04,2.34,3.48,1.68,0.0,0.0,0.0,2.76,2.21,0.0
