Tissue,Spearman,Pearson
Brain_Hippocampus,0.7198195319124909,0.5940895
Brain_Anterior_cingulate_cortex_BA24,0.7077849315879352,0.59899175
smooth muscle cell of the coronary artery,0.6772340593554445,0.6940259
Brain_Frontal_Cortex_BA9,0.6761941057359762,0.5600505
Brain_Hypothalamus,0.6706766917293233,0.64703196
Brain_Amygdala,0.6676691729323309,0.6518488
Brain_Cortex,0.6661654135338345,0.5635516
diencephalon,0.66373326758119,0.70895445
uterine smooth muscle cell,0.6598433535083612,0.6150379
Brain_Nucleus_accumbens_basal_ganglia,0.6551335551680038,0.5872311
bronchial fibroblast,0.652855904148887,0.74954486
Pituitary,0.6521249050868648,0.55877507
kidney epithelial cell,0.6515264794036363,0.6805705
Brain_Cerebellum,0.6511278195488721,0.6681278
regular cardiac myocyte,0.650907527664185,0.70306283
Brain_Caudate_basal_ganglia,0.6506205800462954,0.5859909
Brain_Hippocampus_Middle,0.6400848138668959,0.6249269
Esophagus_Gastroesophageal_Junction,0.6375939849624059,0.5304112
pericyte cell,0.6373079955959019,0.6948006
Brain_Germinal_Matrix,0.63693168670499,0.65036225
Brain_Cerebellar_Hemisphere,0.6360902255639098,0.63692945
smooth muscle cell,0.6346558800602622,0.68010485
fibroblast of dermis,0.6320827090717626,0.66760045
Fallopian_Tube,0.6309478885734052,0.5530312
Nerve_Tibial,0.6300751879699248,0.57151634
H1_Derived_Neuronal_Progenitor_Cultured_Cells,0.6299934186955107,0.66385835
A375,0.6298357088192983,0.6768509
Brain_Putamen_basal_ganglia,0.6295187861980412,0.48853713
temporal lobe,0.6274256231988162,0.67933655
Colon_Sigmoid,0.6227905667957601,0.5481734
myotube,0.6222064167425163,0.655841
bronchial smooth muscle cell,0.6222064167425163,0.6728345
Esophagus_Muscularis,0.613533834586466,0.5185399
Penis_Foreskin_Fibroblast_Primary_Cells_skin01,0.6117066694097428,0.62786824
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived,0.6115085494567596,0.5169417
cardiac ventricle fibroblast,0.6101383675727429,0.671741
frontal cortex,0.6085535422478369,0.6359401
fibroblast of arm,0.6080985843530299,0.6570505
articular chondrocyte of knee joint,0.606976978666884,0.5963448
Artery_Coronary,0.6015037593984961,0.50726724
aortic smooth muscle cell,0.5923319750738881,0.57604516
parietal lobe,0.5920777007650802,0.6647372
Brain_Spinal_cord_cervical_c1,0.5918681410905029,0.39744496
Cells_Transformed_fibroblasts,0.5904475784235165,0.6308007
Vagina,0.5871739919977383,0.49089056
placental epithelial cell,0.5864816521144957,0.6607685
NHLF,0.5853888375452899,0.5909225
Brain_Substantia_nigra,0.5844302782612386,0.41090196
Ovary.1,0.5833847810608245,0.5253632
Artery_Tibial,0.5819548872180451,0.51362264
neural cell,0.58105519870399,0.671646
Artery_Aorta,0.5798199346560906,0.56072116
Heart_Atrial_Appendage,0.5798199346560906,0.52992296
Prostate,0.5753018572431859,0.5489258
hESC_Derived_CD56+_Mesoderm_Cultured_Cells,0.5752071014217061,0.57428813
pericardium fibroblast,0.5734545104010494,0.6934475
Adrenal_Gland,0.5722898056345829,0.57137144
Fetal_Brain_Female,0.5714793718528554,0.50950766
smooth muscle cell of the pulmonary artery,0.5697895774578348,0.58084345
Stomach,0.5675512107741634,0.48300406
occipital lobe,0.5644097619811544,0.62368274
keratinocyte,0.5629486627670386,0.63263535
smooth muscle cell of the umbilical artery,0.5628676579013376,0.5952487
Minor_Salivary_Gland,0.5584945425171289,0.5438384
Breast_Myoepithelial_Cells,0.5565269440763897,0.53172576
HSMM,0.5565269440763897,0.5325937
