Tissue,Spearman
Adipose_Subcutaneous,0.7999999999999999
Adipose_Visceral_Omentum,0.7999999999999999
Adrenal_Gland,1.0
Artery_Aorta,1.0
Artery_Coronary,1.0
Artery_Tibial,0.7999999999999999
Bladder,1.0
Brain_Amygdala,0.7999999999999999
Brain_Anterior_cingulate_cortex_BA24,0.7999999999999999
Brain_Caudate_basal_ganglia,0.7999999999999999
Brain_Cerebellar_Hemisphere,0.7999999999999999
Brain_Cerebellum,0.7999999999999999
Brain_Cortex,0.6000000000000001
Brain_Frontal_Cortex_BA9,0.6000000000000001
Brain_Hippocampus,0.7999999999999999
Brain_Hypothalamus,0.7999999999999999
Brain_Nucleus_accumbens_basal_ganglia,0.7999999999999999
Brain_Putamen_basal_ganglia,0.7999999999999999
Brain_Spinal_cord_cervical_c1,0.7999999999999999
Brain_Substantia_nigra,0.7999999999999999
Breast_Mammary_Tissue,1.0
Cells_EBV-transformed_lymphocytes,1.0
Cells_Transformed_fibroblasts,1.0
Cervix_Ectocervix,1.0
Cervix_Endocervix,1.0
Colon_Sigmoid,1.0
Colon_Transverse,0.7999999999999999
Esophagus_Gastroesophageal_Junction,1.0
Esophagus_Mucosa,1.0
Esophagus_Muscularis,1.0
Fallopian_Tube,1.0
Heart_Atrial_Appendage,1.0
Heart_Left_Ventricle,0.7999999999999999
Kidney_Cortex,0.7999999999999999
Liver,0.7999999999999999
Lung,0.7999999999999999
Minor_Salivary_Gland,1.0
Muscle_Skeletal,0.7999999999999999
Nerve_Tibial,0.7999999999999999
Ovary,1.0
Pancreas,0.39999999999999997
Pituitary,1.0
Prostate,1.0
Skin_Not_Sun_Exposed_Suprapubic,1.0
Skin_Sun_Exposed_Lower_leg,1.0
Small_Intestine_Terminal_Ileum,1.0
Spleen,0.7999999999999999
Stomach,1.0
Testis,1.0
Thyroid,0.7999999999999999
Uterus,1.0
Vagina,1.0
Whole_Blood,0.39999999999999997
cardiac ventricle fibroblast,0.9486832980505139
pericardium fibroblast,0.9486832980505139
mesangial cell,0.2581988897471611
bronchial fibroblast,0.9486832980505139
glomerular endothelial cell,0.2581988897471611
kidney epithelial cell,0.9486832980505139
epithelial cell of alveolus of lung,0.7999999999999999
cardiac atrium fibroblast,0.7745966692414834
smooth muscle cell,0.7378647873726218
hepatocyte,0.7999999999999999
neural progenitor cell,0.9486832980505139
HT1080,0.2581988897471611
SK-N-DZ,0.7378647873726218
SK-MEL-5,0.7999999999999999
NCI-H460,0.2581988897471611
LHCN-M2,0.2581988897471611
K562,0.2581988897471611
bipolar spindle neuron,0.9486832980505139
skeletal muscle myoblast,0.9486832980505139
myotube,0.9486832980505139
H7-hESC,0.9486832980505139
RPMI-7951,0.7745966692414834
H4,0.10540925533894598
Daoy,0.7378647873726218
A172,0.2581988897471611
induced pluripotent stem cell,0.9486832980505139
fibroblast of arm,0.7745966692414834
A375,0.7378647873726218
SJCRH30,0.2581988897471611
neural cell,0.7378647873726218
umbilical cord,0.7999999999999999
pericyte cell,0.7378647873726218
melanocyte of skin,0.9486832980505139
placental epithelial cell,0.9486832980505139
hair follicle dermal papilla cell,0.9486832980505139
vein endothelial cell,0.7378647873726218
osteoblast,0.632455532033676
articular chondrocyte of knee joint,0.9486832980505139
thoracic aorta endothelial cell,0.9486832980505139
fibroblast of the aortic adventitia,0.7745966692414834
skeletal muscle satellite cell,0.632455532033676
fibroblast of dermis,0.9486832980505139
mammary epithelial cell,0.7378647873726218
subcutaneous preadipocyte,0.7745966692414834
fibroblast of villous mesenchyme,0.7378647873726218
endothelial cell of umbilical vein,0.2581988897471611
fibroblast of lung,0.9486832980505139
keratinocyte,0.9486832980505139
stomach,0.9486832980505139
tongue,0.9486832980505139
lung microvascular endothelial cell,0.7378647873726218
liver,0.4472135954999579
smooth muscle cell of the coronary artery,0.9486832980505139
aortic smooth muscle cell,0.9486832980505139
cerebellum,0.7378647873726218
occipital lobe,0.9486832980505139
lung,0.9486832980505139
metanephros,0.7999999999999999
bronchial smooth muscle cell,0.9486832980505139
spinal cord,1.0
parietal lobe,0.7378647873726218
diencephalon,0.9486832980505139
bronchial epithelial cell,0.10540925533894598
human nasal epithelial cells,0.2581988897471611
regular cardiac myocyte,0.9486832980505139
endothelial cell of coronary artery,0.2581988897471611
skeletal muscle tissue,0.9486832980505139
skin of body,0.9486832980505139
frontal cortex,0.9486832980505139
camera-type eye,0.9486832980505139
dermis lymphatic vessel endothelial cell,0.10540925533894598
smooth muscle cell of the umbilical artery,0.7745966692414834
tracheal epithelial cell,-0.2581988897471611
smooth muscle cell of trachea,0.9486832980505139
renal cortical epithelial cell,-0.10540925533894598
dermis blood vessel endothelial cell,0.7378647873726218
heart,0.9486832980505139
thyroid gland,1.0
urinary bladder,0.9486832980505139
temporal lobe,0.9486832980505139
uterine smooth muscle cell,0.7745966692414834
epithelial cell of umbilical artery,0.2581988897471611
smooth muscle cell of the pulmonary artery,0.9486832980505139
smooth muscle cell of bladder,0.9486832980505139
bladder microvascular endothelial cell,0.2581988897471611
uterus,1.0
GM12878,0.7378647873726218
Universal_Human_Reference,0.7378647873726218
H1_Cell_Line,0.7378647873726218
H1_BMP4_Derived_Mesendoderm_Cultured_Cells,0.7999999999999999
H1_BMP4_Derived_Trophoblast_Cultured_Cells,0.7999999999999999
H1_Derived_Mesenchymal_Stem_Cells,0.0
H1_Derived_Neuronal_Progenitor_Cultured_Cells,0.9486832980505139
hESC_Derived_CD184+_Endoderm_Cultured_Cells,0.9486832980505139
hESC_Derived_CD56+_Ectoderm_Cultured_Cells,0.9486832980505139
hESC_Derived_CD56+_Mesoderm_Cultured_Cells,0.9486832980505139
HUES64_Cell_Line,0.9486832980505139
4star,0.7999999999999999
Breast_Myoepithelial_Cells,0.9486832980505139
Breast_vHMEC,0.2581988897471611
CD4_Memory_Primary_Cells,0.7745966692414834
CD4_Naive_Primary_Cells,0.2581988897471611
CD8_Naive_Primary_Cells,0.2581988897471611
Mobilized_CD34_Primary_Cells_Female,0.7378647873726218
Neurosphere_Cultured_Cells_Cortex_Derived,0.7378647873726218
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived,0.7378647873726218
Penis_Foreskin_Fibroblast_Primary_Cells_skin01,0.9486832980505139
Penis_Foreskin_Fibroblast_Primary_Cells_skin02,0.7745966692414834
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02,0.7745966692414834
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03,0.7378647873726218
Penis_Foreskin_Melanocyte_Primary_Cells_skin01,0.0
Penis_Foreskin_Melanocyte_Primary_Cells_skin03,0.632455532033676
Peripheral_Blood_Mononuclear_Primary_Cells,0.7999999999999999
Aorta,-0.316227766016838
Adult_Liver,0.9486832980505139
Brain_Germinal_Matrix,0.9486832980505139
Brain_Hippocampus_Middle,0.7378647873726218
Esophagus,1.0
Fetal_Brain_Female,0.7999999999999999
Fetal_Intestine_Large,1.0
Fetal_Intestine_Small,0.10540925533894598
Pancreatic_Islets,0.7378647873726218
Gastric,0.7378647873726218
Left_Ventricle,0.9486832980505139
Lung.1,0.7378647873726218
Ovary.1,0.9486832980505139
Pancreas.1,0.7999999999999999
Psoas_Muscle,0.9486832980505139
Right_Atrium,0.7378647873726218
Right_Ventricle,0.9486832980505139
Sigmoid_Colon,0.9486832980505139
Small_Intestine,0.9486832980505139
Thymus,0.7999999999999999
Spleen.1,0.7999999999999999
A549,0.2581988897471611
GM12878.1,0.7378647873726218
HELA,0.21081851067789195
HEPG2,0.2581988897471611
HMEC,0.9486832980505139
HSMM,0.9486832980505139
HUVEC,0.2581988897471611
K562.1,0.2581988897471611
NHEK,0.7745966692414834
NHLF,0.9486832980505139
