Tissue,Spearman,Pearson
Testis,1.0,0.75572085
Cells_Transformed_fibroblasts,1.0,0.8391351
Cervix_Endocervix,1.0,0.86585194
Colon_Sigmoid,1.0,0.8588686
Esophagus_Gastroesophageal_Junction,1.0,0.9469346
Esophagus_Mucosa,1.0,0.9739854
Esophagus_Muscularis,1.0,0.91266644
Heart_Atrial_Appendage,1.0,0.86238897
spinal cord,1.0,0.83372295
Minor_Salivary_Gland,1.0,0.83903134
Ovary,1.0,0.9023685
Pituitary,1.0,0.93006796
Prostate,1.0,0.74712056
Skin_Not_Sun_Exposed_Suprapubic,1.0,0.8098102
Skin_Sun_Exposed_Lower_leg,1.0,0.9614142
Small_Intestine_Terminal_Ileum,1.0,0.9478866
Stomach,1.0,0.84962106
Uterus,1.0,0.815977
Vagina,1.0,0.84104973
thyroid gland,1.0,0.79861194
uterus,1.0,0.816116
Cervix_Ectocervix,1.0,0.8516289
Fallopian_Tube,1.0,0.8370329
Cells_EBV-transformed_lymphocytes,1.0,0.9791602
Fetal_Intestine_Large,1.0,0.82714057
Bladder,1.0,0.80283797
Artery_Coronary,1.0,0.9321651
Artery_Aorta,1.0,0.8342186
Breast_Mammary_Tissue,1.0,0.9573442
Adrenal_Gland,1.0,0.8704182
Esophagus,1.0,0.8283657
urinary bladder,0.9486832980505139,0.9979428
heart,0.9486832980505139,0.9960655
smooth muscle cell of trachea,0.9486832980505139,0.980306
camera-type eye,0.9486832980505139,0.997804
stomach,0.9486832980505139,0.99792004
bipolar spindle neuron,0.9486832980505139,0.97749937
fibroblast of dermis,0.9486832980505139,0.98671746
skeletal muscle myoblast,0.9486832980505139,0.99787664
myotube,0.9486832980505139,0.99428016
H7-hESC,0.9486832980505139,0.9978459
keratinocyte,0.9486832980505139,0.99671715
frontal cortex,0.9486832980505139,0.9964622
articular chondrocyte of knee joint,0.9486832980505139,0.9759761
thoracic aorta endothelial cell,0.9486832980505139,0.99802226
placental epithelial cell,0.9486832980505139,0.99737644
lung,0.9486832980505139,0.9971291
occipital lobe,0.9486832980505139,0.9946588
aortic smooth muscle cell,0.9486832980505139,0.9758174
temporal lobe,0.9486832980505139,0.9957688
melanocyte of skin,0.9486832980505139,0.9956166
bronchial smooth muscle cell,0.9486832980505139,0.98638016
induced pluripotent stem cell,0.9486832980505139,0.9973583
tongue,0.9486832980505139,0.9968724
diencephalon,0.9486832980505139,0.99725306
hair follicle dermal papilla cell,0.9486832980505139,0.9964942
regular cardiac myocyte,0.9486832980505139,0.993229
skeletal muscle tissue,0.9486832980505139,0.9966686
smooth muscle cell of the coronary artery,0.9486832980505139,0.99755436
skin of body,0.9486832980505139,0.99743545
neural progenitor cell,0.9486832980505139,0.99806464
NHLF,0.9486832980505139,0.99765694
smooth muscle cell of the pulmonary artery,0.9486832980505139,0.9694066
Breast_Myoepithelial_Cells,0.9486832980505139,0.9975134
HSMM,0.9486832980505139,0.9980576
HMEC,0.9486832980505139,0.99662733
Small_Intestine,0.9486832980505139,0.9980165
Sigmoid_Colon,0.9486832980505139,0.982194
Right_Ventricle,0.9486832980505139,0.99505967
Psoas_Muscle,0.9486832980505139,0.99801064
Ovary.1,0.9486832980505139,0.99695253
Left_Ventricle,0.9486832980505139,0.9980807
Brain_Germinal_Matrix,0.9486832980505139,0.9973923
Adult_Liver,0.9486832980505139,0.99517554
smooth muscle cell of bladder,0.9486832980505139,0.9881211
Penis_Foreskin_Fibroblast_Primary_Cells_skin01,0.9486832980505139,0.9753575
fibroblast of lung,0.9486832980505139,0.99715525
bronchial fibroblast,0.9486832980505139,0.99648434
hESC_Derived_CD56+_Mesoderm_Cultured_Cells,0.9486832980505139,0.9981323
hESC_Derived_CD56+_Ectoderm_Cultured_Cells,0.9486832980505139,0.9940479
kidney epithelial cell,0.9486832980505139,0.9945259
hESC_Derived_CD184+_Endoderm_Cultured_Cells,0.9486832980505139,0.99708277
H1_Derived_Neuronal_Progenitor_Cultured_Cells,0.9486832980505139,0.998057
HUES64_Cell_Line,0.9486832980505139,0.99716854
cardiac ventricle fibroblast,0.9486832980505139,0.990754
pericardium fibroblast,0.9486832980505139,0.9935841
4star,0.7999999999999999,0.9646702
H1_BMP4_Derived_Mesendoderm_Cultured_Cells,0.7999999999999999,0.8550097
Spleen.1,0.7999999999999999,0.7423562
Thymus,0.7999999999999999,0.53649825
Pancreas.1,0.7999999999999999,0.7002476
H1_BMP4_Derived_Trophoblast_Cultured_Cells,0.7999999999999999,0.70660985
Fetal_Brain_Female,0.7999999999999999,0.9558562
Adipose_Visceral_Omentum,0.7999999999999999,0.93218803
metanephros,0.7999999999999999,0.80817115
Peripheral_Blood_Mononuclear_Primary_Cells,0.7999999999999999,0.7228261
Adipose_Subcutaneous,0.7999999999999999,0.9173063
Spleen,0.7999999999999999,0.81610465
Brain_Hippocampus,0.7999999999999999,0.9961886
Thyroid,0.7999999999999999,0.930707
Brain_Substantia_nigra,0.7999999999999999,0.97764623
Brain_Spinal_cord_cervical_c1,0.7999999999999999,0.930202
Brain_Putamen_basal_ganglia,0.7999999999999999,0.9438277
hepatocyte,0.7999999999999999,0.6657722
Heart_Left_Ventricle,0.7999999999999999,0.83675194
Brain_Nucleus_accumbens_basal_ganglia,0.7999999999999999,0.93025315
