gene_id,tissue,logFC
PRDM14,Adipose_Subcutaneous,-0.00092616584
PRDM14,Adipose_Visceral_Omentum,-0.0002295291
PRDM14,Adrenal_Gland,0.000159935
PRDM14,Artery_Aorta,-0.002046152
PRDM14,Artery_Coronary,0.0019371153
PRDM14,Artery_Tibial,0.018049365
PRDM14,Bladder,-0.010257566
PRDM14,Brain_Amygdala,0.01158421
PRDM14,Brain_Anterior_cingulate_cortex_BA24,-0.00031003205
PRDM14,Brain_Caudate_basal_ganglia,0.0009808275
PRDM14,Brain_Cerebellar_Hemisphere,0.00045138385
PRDM14,Brain_Cerebellum,-0.010639371
PRDM14,Brain_Cortex,0.015982917
PRDM14,Brain_Frontal_Cortex_BA9,-0.00019392346
PRDM14,Brain_Hippocampus,-0.0018270963
PRDM14,Brain_Hypothalamus,9.4587354e-05
PRDM14,Brain_Nucleus_accumbens_basal_ganglia,0.01214881
PRDM14,Brain_Putamen_basal_ganglia,-0.0017869741
PRDM14,Brain_Spinal_cord_cervical_c1,-0.0041338443
PRDM14,Brain_Substantia_nigra,0.0017169127
PRDM14,Breast_Mammary_Tissue,0.0022579122
PRDM14,Cells_EBV-transformed_lymphocytes,-0.0006434446
PRDM14,Cells_Transformed_fibroblasts,0.0039061087
PRDM14,Cervix_Ectocervix,-0.0097807115
PRDM14,Cervix_Endocervix,0.0059268856
PRDM14,Colon_Sigmoid,0.00053682993
PRDM14,Colon_Transverse,0.0043298667
PRDM14,Esophagus_Gastroesophageal_Junction,0.0003033455
PRDM14,Esophagus_Mucosa,0.028787628
PRDM14,Esophagus_Muscularis,-0.0004203008
PRDM14,Fallopian_Tube,-0.0003079678
PRDM14,Heart_Atrial_Appendage,-0.0019036415
PRDM14,Heart_Left_Ventricle,0.004018963
PRDM14,Kidney_Cortex,-0.0009546475
PRDM14,Liver,0.0019412375
PRDM14,Lung,0.0016942378
PRDM14,Minor_Salivary_Gland,-0.0010757225
PRDM14,Muscle_Skeletal,0.005016944
PRDM14,Nerve_Tibial,0.0022127507
PRDM14,Ovary,0.019017663
PRDM14,Pancreas,0.0027540794
PRDM14,Pituitary,0.0014892888
PRDM14,Prostate,0.0005069158
PRDM14,Skin_Not_Sun_Exposed_Suprapubic,-0.0025040035
PRDM14,Skin_Sun_Exposed_Lower_leg,6.724365e-05
PRDM14,Small_Intestine_Terminal_Ileum,0.00076168205
PRDM14,Spleen,-0.0018610202
PRDM14,Stomach,0.006544894
PRDM14,Testis,0.004960557
PRDM14,Thyroid,0.00026345337
PRDM14,Uterus,-2.4765714e-05
PRDM14,Vagina,-0.0014992636
PRDM14,Whole_Blood,-4.4716184e-05
PRDM14,cardiac ventricle fibroblast,0.0018794056
PRDM14,hair follicular keratinocyte,-0.00029248613
PRDM14,airway epithelial cell,0.00073108496
PRDM14,epithelial cell of proximal tubule,0.0013640373
PRDM14,pericardium fibroblast,0.00011436393
PRDM14,mesangial cell,-0.0008393475
PRDM14,bronchial fibroblast,0.002875091
PRDM14,glomerular endothelial cell,-0.0005465784
PRDM14,kidney epithelial cell,-0.00036955206
PRDM14,mammary microvascular endothelial cell,-0.0005645575
PRDM14,epithelial cell of alveolus of lung,0.014509545
PRDM14,myometrial cell,0.0108167855
PRDM14,cardiac atrium fibroblast,0.0028333818
PRDM14,endometrial microvascular endothelial cell,0.00039137944
PRDM14,smooth muscle cell,0.00038553358
PRDM14,hepatocyte,0.0001243381
PRDM14,neural progenitor cell,-0.00052343815
PRDM14,HT1080,-0.0006606506
PRDM14,SK-N-DZ,-0.00034039383
PRDM14,SK-MEL-5,-0.00036705766
PRDM14,NCI-H460,6.8792897e-06
PRDM14,astrocyte,0.0005000389
PRDM14,LHCN-M2,0.00029079337
PRDM14,K562,0.0033111628
PRDM14,HepG2,-0.00026427556
PRDM14,MCF-7,0.004243273
PRDM14,bipolar spindle neuron,-0.00048696506
PRDM14,skeletal muscle myoblast,0.0014143797
PRDM14,myotube,0.0034628392
PRDM14,H7-hESC,-0.0035842676
PRDM14,RPMI-7951,9.9749595e-06
PRDM14,M059J,0.0031579263
PRDM14,H4,9.475933e-05
PRDM14,MG63,0.001694066
PRDM14,G401,-0.0015093351
PRDM14,Caki2,-0.00036946603
PRDM14,SJSA1,-0.0018144395
PRDM14,Daoy,0.0036232485
PRDM14,A172,-0.00023056117
PRDM14,induced pluripotent stem cell,-0.0009984467
PRDM14,fibroblast of arm,-0.04025138
PRDM14,A375,-0.0046869954
PRDM14,HT-29,0.00094490714
PRDM14,PC-3,0.0007133796
PRDM14,Karpas-422,-0.000981839
PRDM14,Oci-Ly-7,0.003417029
PRDM14,SJCRH30,0.000895064
PRDM14,neural cell,-0.0039036071
PRDM14,umbilical cord,0.001448914
PRDM14,pericyte cell,0.00091414206
PRDM14,melanocyte of skin,0.0005639928
PRDM14,placental epithelial cell,3.6975795e-05
PRDM14,hair follicle dermal papilla cell,0.0011408257
PRDM14,hematopoietic multipotent progenitor cell,0.0004756256
PRDM14,vein endothelial cell,0.00032793364
PRDM14,osteoblast,0.036910906
PRDM14,articular chondrocyte of knee joint,-0.0028169865
PRDM14,thoracic aorta endothelial cell,-0.00198131
PRDM14,fibroblast of the aortic adventitia,-0.00019065537
PRDM14,skeletal muscle satellite cell,-0.00013088473
PRDM14,fibroblast of dermis,-0.0011002485
PRDM14,mammary epithelial cell,-0.014044395
PRDM14,subcutaneous preadipocyte,0.016323563
PRDM14,fibroblast of villous mesenchyme,0.0015672862
PRDM14,endothelial cell of umbilical vein,0.004737215
PRDM14,fibroblast of lung,0.0024558846
PRDM14,keratinocyte,0.0010763818
PRDM14,stomach,0.003797534
PRDM14,dermis microvascular lymphatic vessel endothelial cell,-0.0014470136
PRDM14,tongue,0.0041974876
PRDM14,lung microvascular endothelial cell,-0.0006556608
PRDM14,liver,-0.003437295
PRDM14,smooth muscle cell of the coronary artery,0.0037067914
PRDM14,aortic smooth muscle cell,0.0005645086
PRDM14,cerebellum,-0.0032174247
PRDM14,occipital lobe,0.0009834055
PRDM14,lung,-0.001478174
PRDM14,metanephros,0.005632087
PRDM14,bronchial smooth muscle cell,-0.001589479
PRDM14,spinal cord,0.09319348
PRDM14,parietal lobe,0.0031987682
PRDM14,diencephalon,0.014580201
PRDM14,bronchial epithelial cell,0.0026030154
PRDM14,human nasal epithelial cells,-0.004254324
PRDM14,pulmonary artery endothelial cell,0.0027508182
PRDM14,regular cardiac myocyte,-0.001774576
PRDM14,endothelial cell of coronary artery,0.00611408
PRDM14,skeletal muscle tissue,-0.0020086933
PRDM14,skin of body,-0.008492426
PRDM14,frontal cortex,0.0011621346
PRDM14,camera-type eye,0.002048578
PRDM14,dermis lymphatic vessel endothelial cell,0.004821551
PRDM14,smooth muscle cell of the umbilical artery,0.0064036436
PRDM14,tracheal epithelial cell,-0.0024695476
PRDM14,smooth muscle cell of trachea,0.0006441032
PRDM14,renal cortical epithelial cell,0.12513627
PRDM14,dermis blood vessel endothelial cell,-0.006605906
PRDM14,heart,0.002005471
PRDM14,thyroid gland,0.0012234816
PRDM14,urinary bladder,-0.00050253485
PRDM14,temporal lobe,-0.0051695905
PRDM14,uterine smooth muscle cell,0.008369975
PRDM14,epithelial cell of umbilical artery,-0.00063983136
PRDM14,smooth muscle cell of the pulmonary artery,0.0016803235
PRDM14,smooth muscle cell of bladder,0.0032464727
PRDM14,bladder microvascular endothelial cell,0.00023628482
PRDM14,uterus,-0.0029130573
PRDM14,GM12878,-0.0056501026
PRDM14,Universal_Human_Reference,0.00095848483
PRDM14,H1_Cell_Line,-0.0003799597
PRDM14,H1_BMP4_Derived_Mesendoderm_Cultured_Cells,-0.0009289193
PRDM14,H1_BMP4_Derived_Trophoblast_Cultured_Cells,0.00017885087
PRDM14,H1_Derived_Mesenchymal_Stem_Cells,0.0029684603
PRDM14,H1_Derived_Neuronal_Progenitor_Cultured_Cells,0.002094775
PRDM14,hESC_Derived_CD184+_Endoderm_Cultured_Cells,-0.0020774116
PRDM14,hESC_Derived_CD56+_Ectoderm_Cultured_Cells,0.0007235215
PRDM14,hESC_Derived_CD56+_Mesoderm_Cultured_Cells,0.0010150285
PRDM14,HUES64_Cell_Line,-0.00071399065
PRDM14,4star,0.0059460686
PRDM14,Breast_Myoepithelial_Cells,0.0019426114
PRDM14,Breast_vHMEC,-0.010320183
PRDM14,CD4_Memory_Primary_Cells,0.012451487
PRDM14,CD4_Naive_Primary_Cells,0.0001831499
PRDM14,CD8_Naive_Primary_Cells,-0.0015999816
PRDM14,Mobilized_CD34_Primary_Cells_Female,-0.011101085
PRDM14,Neurosphere_Cultured_Cells_Cortex_Derived,0.003293489
PRDM14,Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived,-0.00010138733
PRDM14,Penis_Foreskin_Fibroblast_Primary_Cells_skin01,-0.00061281834
PRDM14,Penis_Foreskin_Fibroblast_Primary_Cells_skin02,0.00057447964
PRDM14,Penis_Foreskin_Keratinocyte_Primary_Cells_skin02,0.004652532
PRDM14,Penis_Foreskin_Keratinocyte_Primary_Cells_skin03,0.00089575147
PRDM14,Penis_Foreskin_Melanocyte_Primary_Cells_skin01,0.0034882312
PRDM14,Penis_Foreskin_Melanocyte_Primary_Cells_skin03,-0.00037694923
PRDM14,Peripheral_Blood_Mononuclear_Primary_Cells,0.0013947928
PRDM14,Aorta,5.8128964e-05
PRDM14,Adult_Liver,-0.009773786
PRDM14,Brain_Germinal_Matrix,-0.0053148405
PRDM14,Brain_Hippocampus_Middle,-0.00060507585
PRDM14,Esophagus,-0.00067897525
PRDM14,Fetal_Brain_Female,-0.004212237
PRDM14,Fetal_Intestine_Large,0.0003984288
PRDM14,Fetal_Intestine_Small,-0.017204825
PRDM14,Pancreatic_Islets,0.0049398183
PRDM14,Gastric,-0.0054128906
PRDM14,Left_Ventricle,-0.00051251333
PRDM14,Lung.1,-0.0015012434
PRDM14,Ovary.1,0.004742015
PRDM14,Pancreas.1,2.6829044e-05
PRDM14,Psoas_Muscle,-0.011717858
PRDM14,Right_Atrium,0.0011803498
PRDM14,Right_Ventricle,-0.0013664471
PRDM14,Sigmoid_Colon,-0.00041548393
PRDM14,Small_Intestine,-0.0018730746
PRDM14,Thymus,0.0058030467
PRDM14,Spleen.1,0.0026668762
PRDM14,A549,-0.002518992
PRDM14,GM12878.1,0.0049932925
PRDM14,HELA,0.0003062686
PRDM14,HEPG2,-0.0019974988
PRDM14,HMEC,0.00022321621
PRDM14,HSMM,0.00017541164
PRDM14,HUVEC,9.888664e-05
PRDM14,K562.1,0.0015717528
PRDM14,NHEK,-0.0010634166
PRDM14,NHLF,0.0018098416
FAM87B,Adipose_Subcutaneous,-0.0008393475
FAM87B,Adipose_Visceral_Omentum,0.0013473707
FAM87B,Adrenal_Gland,-0.0037971241
FAM87B,Artery_Aorta,-0.0043084873
FAM87B,Artery_Coronary,0.0033995283
FAM87B,Artery_Tibial,-0.071732305
FAM87B,Bladder,0.017220967
FAM87B,Brain_Amygdala,0.0015131695
FAM87B,Brain_Anterior_cingulate_cortex_BA24,0.0011678054
FAM87B,Brain_Caudate_basal_ganglia,0.0075289826
FAM87B,Brain_Cerebellar_Hemisphere,0.0010552435
FAM87B,Brain_Cerebellum,-0.014845474
FAM87B,Brain_Cortex,0.008101157
FAM87B,Brain_Frontal_Cortex_BA9,8.2721286e-05
FAM87B,Brain_Hippocampus,-0.0024931496
FAM87B,Brain_Hypothalamus,-0.00037694923
FAM87B,Brain_Nucleus_accumbens_basal_ganglia,-0.030575534
FAM87B,Brain_Putamen_basal_ganglia,-0.0016022198
FAM87B,Brain_Spinal_cord_cervical_c1,-0.0013699761
FAM87B,Brain_Substantia_nigra,0.0026037022
FAM87B,Breast_Mammary_Tissue,-0.009270175
FAM87B,Cells_EBV-transformed_lymphocytes,-0.0031436537
FAM87B,Cells_Transformed_fibroblasts,0.015771482
FAM87B,Cervix_Ectocervix,-0.001569335
FAM87B,Cervix_Endocervix,-0.001632781
FAM87B,Colon_Sigmoid,-0.013605957
FAM87B,Colon_Transverse,-0.023793997
FAM87B,Esophagus_Gastroesophageal_Junction,8.8224406e-05
FAM87B,Esophagus_Mucosa,0.008992578
FAM87B,Esophagus_Muscularis,-0.0016324366
FAM87B,Fallopian_Tube,8.925623e-05
FAM87B,Heart_Atrial_Appendage,0.0010507752
FAM87B,Heart_Left_Ventricle,0.010389635
FAM87B,Kidney_Cortex,0.0010084977
FAM87B,Liver,0.006496614
FAM87B,Lung,-0.008218682
FAM87B,Minor_Salivary_Gland,0.00023800436
FAM87B,Muscle_Skeletal,0.005467446
FAM87B,Nerve_Tibial,0.001586699
FAM87B,Ovary,0.073550604
FAM87B,Pancreas,-0.0046026246
FAM87B,Pituitary,-0.0006332071
FAM87B,Prostate,0.004269166
FAM87B,Skin_Not_Sun_Exposed_Suprapubic,0.00084934424
FAM87B,Skin_Sun_Exposed_Lower_leg,-0.0034727224
FAM87B,Small_Intestine_Terminal_Ileum,0.0007023781
FAM87B,Spleen,0.006296113
FAM87B,Stomach,-0.023596264
