id,symbol,seqnames,strand,TSS,type
ENSMUSG00000102693.1,4933401J01Rik,chr1,+,3073253,TEC
ENSMUSG00000064842.1,Gm26206,chr1,+,3102016,snRNA
ENSMUSG00000051951.5,Xkr4,chr1,-,3205901,protein_coding
ENSMUSG00000102851.1,Gm18956,chr1,+,3252757,processed_pseudogene
ENSMUSG00000103377.1,Gm37180,chr1,-,3365731,TEC
ENSMUSG00000104017.1,Gm37363,chr1,-,3375556,TEC
ENSMUSG00000103025.1,Gm37686,chr1,-,3464977,TEC
ENSMUSG00000089699.1,Gm1992,chr1,+,3466587,antisense
ENSMUSG00000103201.1,Gm37329,chr1,-,3512451,TEC
ENSMUSG00000103147.1,Gm7341,chr1,+,3531795,processed_pseudogene
ENSMUSG00000103161.1,Gm38148,chr1,-,3592892,TEC
ENSMUSG00000102331.1,Gm19938,chr1,-,3647309,sense_intronic
ENSMUSG00000102348.1,Gm10568,chr1,+,3680155,TEC
ENSMUSG00000102592.1,Gm38385,chr1,+,3752010,TEC
ENSMUSG00000088333.2,Gm27396,chr1,-,3783876,snRNA
ENSMUSG00000102343.1,Gm37381,chr1,-,3905739,lincRNA
ENSMUSG00000025900.12,Rp1,chr1,-,3999557,protein_coding
ENSMUSG00000102948.1,Gm6101,chr1,-,4256234,processed_pseudogene
ENSMUSG00000104123.1,Gm37483,chr1,-,4363346,TEC
ENSMUSG00000025902.13,Sox17,chr1,-,4490931,protein_coding
ENSMUSG00000104238.1,Gm37587,chr1,+,4496551,processed_transcript
ENSMUSG00000102269.1,Gm7357,chr1,+,4522905,processed_pseudogene
ENSMUSG00000096126.1,Gm22307,chr1,+,4529017,snRNA
ENSMUSG00000103003.1,Gm38076,chr1,-,4534837,processed_pseudogene
ENSMUSG00000104328.1,Gm37323,chr1,-,4583129,lincRNA
ENSMUSG00000102735.1,Gm7369,chr1,+,4610471,processed_pseudogene
ENSMUSG00000098104.1,Gm6085,chr1,-,4687934,processed_pseudogene
ENSMUSG00000102175.1,Gm6119,chr1,-,4692219,processed_pseudogene
ENSMUSG00000088000.1,Gm25493,chr1,-,4723277,snRNA
ENSMUSG00000103265.1,Gm2053,chr1,-,4735046,processed_pseudogene
ENSMUSG00000103922.1,Gm6123,chr1,+,4771131,processed_pseudogene
ENSMUSG00000033845.13,Mrpl15,chr1,-,4773206,protein_coding
ENSMUSG00000102275.1,Gm37144,chr1,-,4778063,TEC
ENSMUSG00000025903.14,Lypla1,chr1,+,4807788,protein_coding
ENSMUSG00000104217.1,Gm37988,chr1,+,4807892,protein_coding
ENSMUSG00000033813.15,Tcea1,chr1,+,4857814,protein_coding
ENSMUSG00000062588.4,Gm6104,chr1,-,4880049,processed_pseudogene
ENSMUSG00000103280.1,Gm37277,chr1,-,4905751,TEC
ENSMUSG00000002459.17,Rgs20,chr1,-,4909576,protein_coding
ENSMUSG00000091305.1,Gm17100,chr1,-,4927028,processed_pseudogene
ENSMUSG00000102653.1,Gm37079,chr1,-,4938576,TEC
ENSMUSG00000085623.1,Gm16041,chr1,+,4970857,antisense
ENSMUSG00000091665.1,Gm17101,chr1,+,5063060,processed_pseudogene
ENSMUSG00000033793.12,Atp6v1h,chr1,+,5070018,protein_coding
ENSMUSG00000104352.1,Gm7182,chr1,-,5276106,processed_pseudogene
ENSMUSG00000104046.1,Gm37567,chr1,+,5307739,TEC
ENSMUSG00000102907.1,Gm38264,chr1,+,5403547,TEC
ENSMUSG00000025905.13,Oprk1,chr1,+,5588466,protein_coding
ENSMUSG00000103936.1,Gm36965,chr1,-,5617837,processed_pseudogene
ENSMUSG00000093015.1,Gm22463,chr1,-,5644645,miRNA
ENSMUSG00000103519.1,Gm37429,chr1,-,5842874,TEC
ENSMUSG00000033774.4,Npbwr1,chr1,-,5913707,protein_coding
ENSMUSG00000103090.1,Gm19214,chr1,-,6048963,processed_pseudogene
ENSMUSG00000025907.14,Rb1cc1,chr1,+,6206197,protein_coding
ENSMUSG00000090031.2,4732440D04Rik,chr1,-,6209866,antisense
ENSMUSG00000087247.3,Alkal1,chr1,+,6359218,protein_coding
ENSMUSG00000103355.1,Gm2147,chr1,+,6380394,processed_pseudogene
ENSMUSG00000102706.1,Gm7417,chr1,-,6382634,processed_pseudogene
ENSMUSG00000103845.1,Gm19026,chr1,-,6429655,processed_pseudogene
ENSMUSG00000033740.17,St18,chr1,+,6487231,protein_coding
ENSMUSG00000103329.2,Gm42492,chr1,-,6861237,TEC
ENSMUSG00000104385.1,Gm7449,chr1,+,6910560,processed_pseudogene
